사업장명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업종구분소분류,도,시,로
스트릿561,영업,제주특별자치도 제주시 용담삼동 1137-1,"제주특별자치도 제주시 서해안로 560, 1층 (용담삼동)",63114.0,한식,제주특별자치도,제주시,서해안로
올래파이,영업,제주특별자치도 제주시 연동 1485-7번지,"제주특별자치도 제주시 국기로2길 11, 1층 (연동)",63139.0,기타,제주특별자치도,제주시,국기로2길
로드일이구,영업,제주특별자치도 제주시 애월읍 애월리 1722-3번지,"제주특별자치도 제주시 애월읍 애월로 129, 1층",63043.0,경양식,제주특별자치도,제주시,애월읍
제주갤럭시호텔구내,영업,제주특별자치도 제주시 용담일동 183-2,"제주특별자치도 제주시 남성로 33, 1층 (용담일동)",63175.0,한식,제주특별자치도,제주시,남성로
연우네,영업,제주특별자치도 제주시 노형동 139-3 외1필지(139-3),제주특별자치도 제주시 은수길 110 (노형동),63091.0,한식,제주특별자치도,제주시,은수길
은혜성,영업,제주특별자치도 제주시 내도동 311-3,"제주특별자치도 제주시 도근내길 98, 1층 (내도동)",63074.0,중국식,제주특별자치도,제주시,도근내길
황제갈매기,영업,제주특별자치도 제주시 이도이동 1176-10번지,"제주특별자치도 제주시 동광로6길 6, 1층 (이도이동)",63208.0,한식,제주특별자치도,제주시,동광로6길
백번,영업,제주특별자치도 제주시 애월읍 애월리 1584-4번지,제주특별자치도 제주시 애월읍 애월로 120,63043.0,한식,제주특별자치도,제주시,애월읍
광주빛고을,영업,제주특별자치도 제주시 이도일동 1250-26 (1층),"제주특별자치도 제주시 동광로5길 8 (이도일동,(1층))",63196.0,한식,제주특별자치도,제주시,동광로5길
훔쳐온뒷고기,영업,제주특별자치도 제주시 도남동 918-9번지,제주특별자치도 제주시 도남로5길 6 (도남동),63200.0,식육(숯불구이),제주특별자치도,제주시,도남로5길
에코랜드,영업,제주특별자치도 제주시 조천읍 대흘리 1221-1,제주특별자치도 제주시 조천읍 번영로 1278-169,63346.0,경양식,제주특별자치도,제주시,조천읍
통큰장어신제주점,영업,제주특별자치도 제주시 연동 300-4,"제주특별자치도 제주시 신대로 60, 1층 (연동)",63118.0,한식,제주특별자치도,제주시,신대로
